Fecha,S112 - Palomino (Upstream Chlorides),S109 - Cuestecita (Downstream Chlorides),S112 - Palomino (Upstream Sulphates),S109 - Cuestecita (Downstream Sulphates)
03-ene-18,23,34,26,146
06-feb-18,9,40,10,118
05-mar-18,24,50,25,106
12-mar-18,26,36,25,68
21-mar-18,24,43,24,59
28-mar-18,29,45,28,88
03-abr-18,20,33,17,50
04-abr-18,19,32,19,57
24-abr-18,19,25,13,46
01-may-18,22,32,24,43
04-may-18,18,26,16,37
10-may-18,16,25,21,60
17-may-18,15,18,17,29
24-may-18,15,26,11,35
06-jun-18,17,29,15,52
07-jun-18,20,28,17,53
14-jun-18,23,35,35,63
22-jun-18,26,30,37,51
03-jul-18,22,34,22,42
11-jul-18,29,42,29,69
18-jul-18,26,43,26,70
24-jul-18,20,28,16,47
31-jul-18,20,28,18,49
02-ago-18,30,43,21,136
17-ago-18,26,34,32,114
22-ago-18,31,34,34,47
28-ago-18,28,35,34,43
04-sep-18,26,31,22,36
11-sep-18,28,42,16,45
18-sep-18,29,33,24,46
25-sep-18,32,40,22,57
01-oct-18,25,38,25,70
09-oct-18,32,29,37,32
12-oct-18,19,35,28,62
16-oct-18,19,22,28,38
17-oct-18,16,23,28,34
18-oct-18,24,28,25,50
22-oct-18,17,25,20,44
23-oct-18,22,26,31,50
24-oct-18,24,34,27,85
26-oct-18,22,26,26,100
29-oct-18,29,39,28,114
30-oct-18,23,41,25,125
31-oct-18,21,39,28,168
01-nov-18,23,41,25,125
02-nov-18,16,29,26,96
03-nov-18,23,30,38,94
04-nov-18,26,34,56,142
05-nov-18,30,53,59,205
06-nov-18,38,45,68,206
07-nov-18,24,38,32,122
08-nov-18,23,34,34,134
09-nov-18,24,34,40,140
10-nov-18,34,42,55,168
11-nov-18,24,32,53,142
12-nov-18,26,37,59,223
13-nov-18,37,48,71,209
14-nov-18,14,18,33,73
15-nov-18,21,29,38,87
16-nov-18,20,29,33,62
17-nov-18,22,25,33,53
18-nov-18,23,26,44,67
19-nov-18,13,15,31,40
20-nov-18,16,24,23,51
21-nov-18,24,28,26,26
22-nov-18,29,33,38,53
23-nov-18,36,36,49,67
24-nov-18,41,44,72,79
25-nov-18,43,44,72,84
26-nov-18,44,46,66,79
27-nov-18,44,61,86,102
03-dic-18,27,51,29,84
11-dic-18,24,41,23,68
19-dic-18,24,43,21,54
26-dic-18,32,51,30,70
31-dic-18,35,51,26,56
08-ene-19,36,53,30,70
15-ene-19,40,52,42,58
22-ene-19,35,32,55,73
29-ene-19,36,51,28,66
05-feb-19,32,48,28,95
12-feb-19,37,37,45,44
19-feb-19,31,45,29,51
26-feb-19,32,44,30,57
05-mar-19,32,44,30,49
12-mar-19,38,42,42,68
19-mar-19,34,44,42,72
26-mar-19,24,36,37,67
02-abr-19,32,40,24,61
09-abr-19,29,40,35,47
16-abr-19,26,40,39,55
23-abr-19,22,40,38,60
30-abr-19,24,33,29,50
07-may-19,31,31,36,44
14-may-19,34,28,53,40
21-may-19,34,43,54,97
28-may-19,36,26,48,92
04-jun-19,18,29,38,92
11-jun-19,19,35,38,77
18-jun-19,32,48,53,102
25-jun-19,29,35,58,79
02-jul-19,31,42,50,87
09-jul-19,18,45,59,134
16-jul-19,24,39,34,71
23-jul-19,31,36,49,71
30-jul-19,30,43,54,83
06-ago-19,17,46,41,196
13-ago-19,31,39,47,94
20-ago-19,20,25,39,75
27-ago-19,29,44,45,99
03-sep-19,21,30,42,88
10-sep-19,23,45,33,164
17-sep-19,28,36,36,81
24-sep-19,12,18,7,29
01-oct-19,21,36,25,69
08-oct-19,12,30,25,67
15-oct-19,21,29,28,86
22-oct-19,17,37,34,104
29-oct-19,21,19,21,32
05-nov-19,20,22,20,41
12-nov-19,30,40,38,76
19-nov-19,30,48,25,82
26-nov-19,39,49,56,95
03-dic-19,37,49,54,87
10-dic-19,29,42,40,64
17-dic-19,31,46,37,63
24-dic-19,23,38,34,58
31-dic-19,29,41,34,52
07-ene-20,24,33,30,46
14-ene-20,29,36,36,53
21-ene-20,27,36,30,43
28-ene-20,31,35,44,51
04-feb-20,25,35,32,55
11-feb-20,29,44,36,59
18-feb-20,33,49,38,69
25-feb-20,36,58,42,97
03-mar-20,33,52,37,71
10-mar-20,34,49,39,60
17-mar-20,34,54,36,73
